photo_num,animal,downloads,views,likes,has_instagram,has_twitter
1,dog,1140,402279,14,yes,yes
2,cat,215,41862,9,yes,yes
3,cat,471,67208,11,yes,no
4,cat,2233,241102,24,yes,yes
5,dog,4576,1283654,56,yes,yes
6,dog,1125,229852,22,yes,yes
7,dog,59156,4566544,704,yes,yes
8,dog,13704,1562631,206,yes,yes
9,cat,1114,333977,39,yes,yes
10,cat,8338,1403414,146,yes,yes
11,cat,6843,1012830,286,yes,yes
12,cat,1952,299624,60,yes,no
13,cat,4664,761744,87,yes,yes
14,dog,19411,3159425,213,yes,no
15,cat,1070,117763,18,yes,yes
16,cat,1088,237334,31,yes,no
17,cat,259,64454,8,no,no
18,cat,230,25041,5,yes,yes
19,cat,2161,350075,64,no,no
20,cat,187,79811,0,no,no
21,cat,1217,221126,52,yes,yes
22,dog,7758,1639223,148,yes,yes
23,dog,7249,2105585,124,yes,yes
24,cat,4037,1180105,52,yes,no
25,dog,20718,4080667,111,no,no
26,dog,10719,1511145,138,yes,no
27,dog,4271,2316878,58,yes,no
28,dog,3735,725258,81,yes,no
29,cat,1685,217632,37,yes,yes
30,cat,1387,409830,59,yes,no
31,dog,1935,586965,81,yes,yes
32,dog,569,242479,11,yes,no
33,dog,3666,1000731,56,yes,yes
34,cat,4416,778004,65,no,yes
35,dog,60,13288,3,no,no
36,dog,3771,778677,69,yes,no
37,cat,870,288443,17,yes,no
38,cat,917,74920,23,no,no
39,dog,8861,1528695,163,yes,no
40,cat,1100,333373,25,no,no
41,cat,942,83644,17,no,no
42,dog,5697,2506963,49,no,yes
43,cat,1504,245073,64,yes,yes
44,dog,14165,2076729,376,no,yes
45,dog,13431,2329614,322,yes,yes
46,dog,7389,1883291,160,yes,no
47,cat,432,259099,10,no,no
48,cat,3140,538512,64,yes,yes
49,dog,6931,1904608,115,no,no
50,dog,7801,1631484,149,yes,no
51,cat,337,62542,2,no,no
52,dog,14219,2498126,458,yes,yes
53,dog,8403,1765905,109,yes,no
54,cat,899,218438,31,yes,no
55,cat,257,36881,2,yes,yes
56,cat,3586,447215,64,yes,yes
57,dog,16916,1760300,327,yes,yes
58,dog,140,58317,3,no,no
59,dog,12124,2116499,404,no,no
60,dog,12328,2166188,230,yes,yes
61,dog,4069,469835,35,no,no
62,dog,17420,3991596,241,yes,no
63,dog,20213,2995861,290,yes,yes
64,cat,1672,423501,24,no,no
65,dog,4490,699247,82,no,no
66,cat,1230,192833,24,yes,yes
67,cat,731,123556,24,yes,yes
68,dog,1945,804825,54,no,no
69,dog,2512,1294482,28,yes,yes
70,cat,1412,226162,62,yes,yes
71,dog,23561,2593852,232,yes,no
72,cat,3279,595867,41,no,no
73,cat,184,39286,5,no,no
74,dog,1062,714953,15,yes,yes
75,dog,16828,2490781,219,no,no
76,dog,111,19379,1,yes,yes
77,dog,7533,2012447,103,yes,yes
78,dog,8623,1382322,181,yes,yes
79,dog,12340,2197807,363,yes,yes
80,cat,4896,387580,99,yes,yes
81,cat,1830,345268,68,yes,yes
82,cat,782,159754,19,yes,no
83,dog,8868,1420300,431,yes,no
84,dog,13066,2149747,161,no,no
85,cat,860,491336,43,yes,yes
86,dog,17323,3744105,287,yes,no
87,cat,2942,568660,90,no,no
88,cat,1700,335817,30,yes,yes
89,cat,757,281493,26,yes,yes
90,cat,4695,697210,161,yes,no
