photo_num,animal,colour_image_link,gs_image_link,gs_image_link_mini,gs_mean,gs_median,colour_image_link_alt,gs_image_link_alt
1,dog,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/1.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/1.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/1.png,151,168,https://statistics-is-awesome.org/colourphotos/1.png,https://statistics-is-awesome.org/gsphotos/1.png
2,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/2.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/2.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/2.png,105,105,https://statistics-is-awesome.org/colourphotos/2.png,https://statistics-is-awesome.org/gsphotos/2.png
3,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/3.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/3.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/3.png,156,190,https://statistics-is-awesome.org/colourphotos/3.png,https://statistics-is-awesome.org/gsphotos/3.png
4,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/4.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/4.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/4.png,121,132,https://statistics-is-awesome.org/colourphotos/4.png,https://statistics-is-awesome.org/gsphotos/4.png
5,dog,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/5.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/5.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/5.png,114,112,https://statistics-is-awesome.org/colourphotos/5.png,https://statistics-is-awesome.org/gsphotos/5.png
6,dog,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/6.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/6.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/6.png,91,94,https://statistics-is-awesome.org/colourphotos/6.png,https://statistics-is-awesome.org/gsphotos/6.png
7,dog,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/7.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/7.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/7.png,121,128,https://statistics-is-awesome.org/colourphotos/7.png,https://statistics-is-awesome.org/gsphotos/7.png
8,dog,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/8.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/8.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/8.png,91,78,https://statistics-is-awesome.org/colourphotos/8.png,https://statistics-is-awesome.org/gsphotos/8.png
9,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/9.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/9.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/9.png,70,42,https://statistics-is-awesome.org/colourphotos/9.png,https://statistics-is-awesome.org/gsphotos/9.png
10,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/10.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/10.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/10.png,119,127,https://statistics-is-awesome.org/colourphotos/10.png,https://statistics-is-awesome.org/gsphotos/10.png
11,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/11.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/11.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/11.png,165,188,https://statistics-is-awesome.org/colourphotos/11.png,https://statistics-is-awesome.org/gsphotos/11.png
12,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/12.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/12.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/12.png,87,66,https://statistics-is-awesome.org/colourphotos/12.png,https://statistics-is-awesome.org/gsphotos/12.png
13,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/13.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/13.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/13.png,110,93,https://statistics-is-awesome.org/colourphotos/13.png,https://statistics-is-awesome.org/gsphotos/13.png
14,dog,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/14.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/14.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/14.png,142,156,https://statistics-is-awesome.org/colourphotos/14.png,https://statistics-is-awesome.org/gsphotos/14.png
15,cat,https://annafergusson.shinyapps.io/dogsvscats/images/colourphotos/15.png,https://annafergusson.shinyapps.io/dogsvscats/images/gsphotos/15.png,https://annafergusson.shinyapps.io/dogsvscats/images/minigs/15.png,166,173,https://statistics-is-awesome.org/colourphotos/15.png,https://statistics-is-awesome.org/gsphotos/15.png
